ID,oliver,meyers,colbert,sambee,hannity,carlson,maddow,tapper,cooper,lindsay,cruz,mitch,paulryan,berie,warren,kamala,beto,ratedogs,rowling,james,elonmusk
31284125,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
1015106977243033600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121628551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15676414,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1
141133291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
892128043069612032,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21416716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583068100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3982389072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830917262118965253,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2768531641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2579784943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3087855988,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
277895770,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16898591,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
166772112,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1537355156,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1152577460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805447348281294848,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
155364313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27423110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318445995,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0
79233977,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
94782078,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
901721378646306816,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1
2848655453,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39337745,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
581451238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
968231714899316736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724502912,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
