ID,oliver,meyers,colbert,sambee,hannity,carlson,maddow,tapper,cooper,lindsay,cruz,mitch,paulryan,berie,warren,kamala,beto,ratedogs,rowling,james,elonmusk
293843854.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1537e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.56592e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586485682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270901954.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
327648121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
576702456.0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
299465536.0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
292062340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450329349.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3268288225.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29487010.0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
627581040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.34452e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1468892066.0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4691169630.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
474054440.0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
262820043.0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
8.04104e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522034608.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8.18467e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14192541.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
328805554.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290667859.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26586949.0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
2468651263.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2911406748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61669810.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3730896013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363091465.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
392943509.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2264549539.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159275064.0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
1194922280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608584256.0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
20417185.0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1
4250398349.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.04744e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380404268.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1.03142e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453507246.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
20469548.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1968191983.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19137131.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.72918e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861202278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1347e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4704357987.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435535903.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368645056.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2898159860.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.80171e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.15021e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58939016.0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
1364397091.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19515341.0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8.71122e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401674554.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
282091676.0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
33386931.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234872678.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
260404909.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1923574478.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1410008599.0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
92458697.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550616018.0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
8.7365e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327501807.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
435315424.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3963855317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33530593.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48283457.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.64975e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375864094.0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
541136005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.51841e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.36014e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117904412.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
503167978.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
751666272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470044659.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.70314e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154384963.0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
1903876099.0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
242064242.0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
9.27744e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876540758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306000975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209136299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23936584.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
