,lat,lng
0,33.7489954,-84.3879824
1,34.0522342,-118.2436849
2,52.48624299999999,-1.890401
3,45.5016889,-73.567256
4,42.2808256,-83.7430378
5,37.8271784,-122.2913078
6,44.977753,-93.2650108
7,40.7127753,-74.0059728
8,42.9849233,-81.2452768
9,34.1633045,-118.3841777
10,40.4167754,-3.7037902
11,37.7749295,-122.4194155
12,34.0522342,-118.2436849
13,37.09024,-95.712891
14,32.7764749,-79.93105120000001
15,42.3600825,-71.0588801
16,37.4123585,-94.7051807
17,40.7127753,-74.0059728
18,-33.8688197,151.2092955
19,43.653226,-79.3831843
20,37.8271784,-122.2913078
21,40.7127753,-74.0059728
22,60.55444439999999,-151.2583333
23,38.6881293,-83.6093611
24,53.4807593,-2.2426305
25,49.3199816,-123.0724139
26,53.3498053,-6.2603097
27,34.0522342,-118.2436849
28,45.5016889,-73.567256
29,51.5073509,-0.1277583
30,37.09024,-95.712891
31,40.7127753,-74.0059728
32,47.6062095,-122.3320708
33,40.7127753,-74.0059728
34,34.0522342,-118.2436849
35,35.79154,-78.7811169
36,39.72728540000001,-84.05766750000001
37,45.5122308,-122.6587185
38,39.7392358,-104.990251
39,38.6270025,-90.19940419999999
40,30.2849185,-97.7340567
41,40.7127753,-74.0059728
42,40.8050565,-81.935143
43,36.7477353,-95.9345252
44,35.1495343,-90.0489801
45,40.7127753,-74.0059728
46,44.2097928,-69.0647838
47,37.7656842,-122.4029991
48,34.0522342,-118.2436849
49,33.7489954,-84.3879824
50,34.0522342,-118.2436849
51,52.48624299999999,-1.890401
52,45.5016889,-73.567256
53,42.2808256,-83.7430378
54,37.8271784,-122.2913078
55,44.977753,-93.2650108
56,40.7127753,-74.0059728
57,42.9849233,-81.2452768
58,34.1633045,-118.3841777
59,40.4167754,-3.7037902
60,37.7749295,-122.4194155
61,34.0522342,-118.2436849
62,37.09024,-95.712891
63,32.7764749,-79.93105120000001
64,42.3600825,-71.0588801
65,37.4123585,-94.7051807
66,40.7127753,-74.0059728
67,-33.8688197,151.2092955
68,43.653226,-79.3831843
69,37.8271784,-122.2913078
70,40.7127753,-74.0059728
71,60.55444439999999,-151.2583333
72,38.6881293,-83.6093611
73,53.4807593,-2.2426305
74,49.3199816,-123.0724139
75,53.3498053,-6.2603097
76,34.0522342,-118.2436849
77,45.5016889,-73.567256
78,51.5073509,-0.1277583
79,37.09024,-95.712891
80,40.7127753,-74.0059728
81,47.6062095,-122.3320708
82,40.7127753,-74.0059728
83,34.0522342,-118.2436849
84,35.79154,-78.7811169
85,39.72728540000001,-84.05766750000001
86,45.5122308,-122.6587185
87,39.7392358,-104.990251
88,38.6270025,-90.19940419999999
89,30.2849185,-97.7340567
90,40.7127753,-74.0059728
91,40.8050565,-81.935143
92,36.7477353,-95.9345252
93,35.1495343,-90.0489801
94,40.7127753,-74.0059728
95,44.2097928,-69.0647838
96,37.7656842,-122.4029991
97,34.0522342,-118.2436849
98,33.7489954,-84.3879824
99,34.0522342,-118.2436849
100,52.48624299999999,-1.890401
